ACCOUNT_COID,PURPRINCIPAL
CI 0014 416263035         , 4467.5156
CI 0014 600039920         , 1900.0
CI 0014 416265463         , 5065.6812
CI 0014 416265804         , 3164.8908
CI 0014 416262928         , 1610.3412
CI 0014 416268333         , 5881.184
CI 0014 416265566         , 27865.514
CI 0014 416261284         , 1220.4612
CI 0014 416266579         , 2929.7392
CI 0014 416268643         , 8504.2176
CI 0014 600039924         , 3040.0
CI 0014 416268711         , 4359.0408
CI 0014 416265646         , 5123.3044
CI 0014 600039922         , 2280.0
CI 0014 416268302         , 8699.5832
CI 0014 600039923         , 1254.0
CI 0014 416260585         , 9889.12
CI 0014 416266809         , 16660.0664
CI 0014 416264861         , 2172.2396
CI 0014 416261292         , 4068.2116
CI 0014 416268650         , 4246.462
CI 0014 416267441         , 1164.4644
CI 0014 416266765         , 989.7556
CI 0014 416264209         , 25974.026
CI 0014 416262861         , 1246.8028
CI 0014 416266440         , 4119.0936
CI 0014 600039925         , 1520.0
